FECHA,VALOR UNIDAD
01/01/2017,15877.45963024
01/02/2017,15874.73417647
01/03/2017,15820.14828008
01/04/2017,15826.54779218
01/05/2017,15760.54162142
01/06/2017,15679.56351836
01/07/2017,15678.92743088
01/08/2017,15678.29222289
01/09/2017,15677.65620501
01/10/2017,15825.32267109
01/11/2017,16018.89766088
01/12/2017,15789.30406241
01/13/2017,15831.31590927
01/14/2017,15830.86793819
01/15/2017,15830.42084777
01/16/2017,15839.35318707
01/17/2017,15767.57311859
01/18/2017,15816.51024553
01/19/2017,15797.99514712
01/20/2017,15762.24582468
01/21/2017,15761.72947867
01/22/2017,15761.2139955
01/23/2017,15682.69449859
01/24/2017,15845.73169611
01/25/2017,15889.50604334
01/26/2017,15937.86709962
01/27/2017,15891.19753991
01/28/2017,15890.62871384
01/29/2017,15890.0599189
01/30/2017,15882.90474799
01/31/2017,15807.63320094
02/01/2017,15730.57407231
02/02/2017,15640.36855419
02/03/2017,15545.7721734
02/04/2017,15545.19808504
02/05/2017,15544.62402802
02/06/2017,15531.94261588
02/07/2017,15590.85952929
02/08/2017,15678.24415746
02/09/2017,15641.01242718
02/10/2017,15613.88962249
02/11/2017,15613.35331788
02/12/2017,15612.81704272
02/13/2017,15770.42064448
02/14/2017,15753.78871468
02/15/2017,15815.29853756
02/16/2017,15832.40010962
02/17/2017,15966.48399104
02/18/2017,15965.97808332
02/19/2017,15965.47304859
02/20/2017,15969.92285028
02/21/2017,16005.76015983
02/22/2017,15974.15105511
02/23/2017,15878.78851177
02/24/2017,15952.27520509
02/25/2017,15951.78145196
02/26/2017,15951.28687696
02/27/2017,16008.27301976
02/28/2017,16098.5641069
03/01/2017,16259.29150158
03/02/2017,16351.29225082
03/03/2017,16429.38243862
03/04/2017,16428.92952033
03/05/2017,16428.47662688
03/06/2017,16360.9024991
03/07/2017,16367.71693775
03/08/2017,16411.97861363
03/09/2017,16488.47081146
03/10/2017,16402.2238303
03/11/2017,16401.78195401
03/12/2017,16401.34092612
03/13/2017,16477.51916579
03/14/2017,16498.92433052
03/15/2017,16438.7378132
03/16/2017,16261.33060176
03/17/2017,16219.90855737
03/18/2017,16219.46352893
