FECHA,VALOR UNIDAD
01/01/2017,10440.44178686
01/02/2017,10427.48538714
01/03/2017,10478.53759532
01/04/2017,10585.59208092
01/05/2017,10696.10643452
01/06/2017,10641.70006494
01/07/2017,10641.3882405
01/08/2017,10641.08144104
01/09/2017,10640.76965066
01/10/2017,10651.70265573
01/11/2017,10705.4288455
01/12/2017,10712.01515068
01/13/2017,10717.3775672
01/14/2017,10717.0465496
01/15/2017,10716.72058068
01/16/2017,10721.27524903
01/17/2017,10701.15360339
01/18/2017,10677.43747893
01/19/2017,10678.58128645
01/20/2017,10706.32441924
01/21/2017,10706.0234665
01/22/2017,10705.72745974
01/23/2017,10775.47382717
01/24/2017,10834.57327169
01/25/2017,10918.49983681
01/26/2017,10890.66532297
01/27/2017,10892.02777512
01/28/2017,10891.77884691
01/29/2017,10891.52993222
01/30/2017,10852.0696589
01/31/2017,10851.65370064
02/01/2017,10857.88067346
02/02/2017,10869.95174635
02/03/2017,10930.46513168
02/04/2017,10930.26632087
02/05/2017,10930.06752064
02/06/2017,10919.71302955
02/07/2017,10906.66318985
02/08/2017,10922.46335923
02/09/2017,10958.40767252
02/10/2017,10992.03942323
02/11/2017,10991.90924459
02/12/2017,10991.77907341
02/13/2017,11040.17924442
02/14/2017,11067.83981111
02/15/2017,11126.88536543
02/16/2017,11107.98859902
02/17/2017,11094.35970236
02/18/2017,11094.06387721
02/19/2017,11093.7715277
02/20/2017,11098.38202412
02/21/2017,11148.13220619
02/22/2017,11138.29120554
02/23/2017,11143.59738367
02/24/2017,11115.0553071
02/25/2017,11114.76115345
02/26/2017,11114.46388336
02/27/2017,11131.17073743
02/28/2017,11119.89738733
03/01/2017,11234.3357587
03/02/2017,11135.36497403
03/03/2017,11182.21770615
03/04/2017,11181.88892102
03/05/2017,11181.56015384
03/06/2017,11155.5258407
03/07/2017,11135.55168631
03/08/2017,11092.69001033
03/09/2017,11096.55213767
03/10/2017,11147.40572528
03/11/2017,11147.08771154
03/12/2017,11146.77240734
03/13/2017,11187.32923226
03/14/2017,11119.08779347
03/15/2017,11248.49928681
03/16/2017,11267.79414438
03/17/2017,11240.63227843
03/18/2017,11240.35742333
03/19/2017,11240.08008001
03/20/2017,11239.8052552
03/21/2017,11147.70391598
03/22/2017,11174.8899325
03/23/2017,11180.88822048
03/24/2017,11173.4469876
03/25/2017,11173.14313691
03/26/2017,11172.84166835
03/27/2017,11182.12922771
03/28/2017,11233.54134736
03/29/2017,11244.04625067
03/30/2017,11246.4138982
03/31/2017,11227.66018445
04/01/2017,11227.28405546
04/02/2017,11226.90794708
04/03/2017,11231.85372136
04/04/2017,11245.45778018
04/05/2017,11227.59862726
04/06/2017,11243.42761357
04/07/2017,11226.17062789
04/08/2017,11225.9214238
04/09/2017,11225.67025354
04/10/2017,11234.66134687
04/11/2017,11264.27319942
04/12/2017,11251.45687919
04/13/2017,11251.12204541
04/14/2017,11250.77751733
04/15/2017,11250.43106559
04/16/2017,11250.08657539
04/17/2017,11258.46213424
04/18/2017,11190.97885455
04/19/2017,11129.91229726
04/20/2017,11191.16471019
04/21/2017,11174.30630854
04/22/2017,11174.01257899
04/23/2017,11173.71889614
04/24/2017,11365.10218677
04/25/2017,11431.91620679
04/26/2017,11410.05347788
04/27/2017,11397.14291951
04/28/2017,11413.18712735
04/29/2017,11412.90853152
04/30/2017,11412.62913918
05/01/2017,11412.34943594
05/02/2017,11498.76857023
05/03/2017,11458.09043227
